polymer,system,A2_unnormalized,deltaGmin,deltaGmax,N,A2_normalized,A2_normalized_win10,A2_normalized_win20,A2_normalized_win30,deltaGmax_win10,deltaGmax_win20,deltaGmax_win30
2361,fe_virial_batch_100k_16_0,13.196204231081433,0.0,1.357008493540322,40,0.008247627644425895,-0.033960164707132895,-0.054920731390271094,-0.04915708005557441,1.2411880085616591,1.1388101061524787,1.0473705633160177
2362,fe_virial_batch_100k_16_0,45.94369673328606,0.0,1.083996795134178,40,0.028714810458303788,0.03394212985503703,0.047449296045579056,0.025333684554799688,1.0414066752283258,0.9806506061524787,0.868695511464166
2363,fe_virial_batch_100k_16_0,90.90562717794013,0.0,2.007846629961193,40,0.05681601698621258,0.09550464797426388,0.11132078447728624,0.11177750969662754,1.9828615863394368,1.897868383930257,1.7667981299826856
2364,fe_virial_batch_100k_16_0,-42.149571980280044,0.0,0.839708185516749,40,-0.026343482487675027,-0.014789473583252732,-0.026919986141693945,-0.005711845740909608,0.7767566530061042,0.6823470017117981,0.6151162151678697
2365,fe_virial_batch_100k_16_0,391.896850053417,0.0,1.5950812713181,42,0.2221637471958146,0.13469424875740177,0.09510814294627727,0.09321706839631974,1.4584588641172145,1.3494402450413678,1.2779822892419446
2366,fe_virial_batch_100k_16_0,-112.3847776864614,0.0,1.5042315729119549,42,-0.06371019143223436,-0.08931990466520803,-0.09358779658577394,-0.07438562658278161,1.4406096307838818,1.3298823394858132,1.22076968553824
2367,fe_virial_batch_100k_16_0,30.76608127498981,0.0,1.2266877157625453,42,0.017441089158157487,-0.004886099666134083,-0.0316913757768772,-0.01788252080617165,1.1546553432391968,1.066308233930257,1.009509926278982
2368,fe_virial_batch_100k_16_0,165.81217241338575,0.0,1.3354181602069886,42,0.09399783016631845,0.1185390630758177,0.10835210540029067,0.10398424888626971,1.2696793085616591,1.2209757350451313,1.1702410818345361
2369,fe_virial_batch_100k_16_0,-252.43395660840943,0.0,1.0831401032036196,42,-0.14310315000476725,-0.17789177953011592,-0.190969088062938,-0.16551726565846,1.0016821085616594,0.9089245061524787,0.835581667019722
2370,fe_virial_batch_100k_16_0,70.3132492573167,0.0,1.575062547648063,44,0.036318827095721436,-0.003596282001255092,-0.017390973280265173,-0.01444562655474878,1.4957671530061032,1.4036259406006872,1.3376069003530546
2371,fe_virial_batch_100k_16_0,268.0684301688231,0.0,2.1606520490958783,44,0.1384650982276979,0.10971102859150099,0.09733047399234848,0.0872351089510872,2.0787723863394363,1.9712458061524778,1.825962622575277
2372,fe_virial_batch_100k_16_0,220.9374307259065,0.0,2.0419635729119547,44,0.11412057372205914,0.07567150753831337,0.04890872217499167,0.044545867579934444,1.9772183641172152,1.8723846406006863,1.7350892262789808
2373,fe_virial_batch_100k_16_0,-400.4748555311517,0.0,0.9483149062452885,44,-0.20685684686526432,-0.1658790733641949,-0.15660677103843484,-0.13067921144159897,0.9430006717916449,0.9227985844143436,0.9015968950016461
2374,fe_virial_batch_100k_16_0,-387.1102701960027,0.0,1.6594233824292122,44,-0.19995365196074522,-0.12053751627339258,-0.10609909359817768,-0.046324248299090195,1.6305382307838825,1.5558582839302568,1.5109370929456478
2375,fe_virial_batch_100k_16_0,-24.451145531369004,0.0,0.5552031032036191,30,-0.027167939479298894,0.06800217834139571,0.10226876202297575,0.08719107855531802,0.5054692641172148,0.3953257339302566,0.2819392929456477
2376,fe_virial_batch_100k_16_0,-9.868854702301885,0.0,0.34779765875917446,30,-0.010965394113668762,-0.04460216147341248,-0.05906441409552557,-0.034640547638325185,0.28860819745054833,0.2250376350451318,0.1585426670197218
2377,fe_virial_batch_100k_16_0,7.342869656585042,0.0,0.9904456299611932,30,0.008158744062872269,-0.023218095846407338,-0.04683271923699819,-0.036576387830782674,0.9063070321280852,0.7887251339302565,0.6792603410937957
2378,fe_virial_batch_100k_16_0,-14.474520042177165,0.0,0.3492197410723046,30,-0.016082800046863518,-0.1017101526702846,-0.16767916331390806,-0.1655119504162025,0.2555488974505483,0.16878785726735385,0.10229634479749944
2379,fe_virial_batch_100k_16_0,14.59527686153094,0.0,0.37468207440563756,30,0.016216974290589933,0.026598682456707927,0.03354631445159982,0.045276535270241544,0.33863717522832626,0.3050401739340207,0.26944023368638853
2380,fe_virial_batch_100k_16_0,203.8659348159648,0.0,0.9598669379847665,32,0.19908782696871563,0.13576492221574868,0.11182083804135864,0.10720424561617432,0.8766383196727702,0.7526484894858119,0.638873022575277
2381,fe_virial_batch_100k_16_0,55.75697467283694,0.0,1.3333577951341775,32,0.054450170578942324,0.08259773617844007,0.07261389992691887,0.07149331150780827,1.300261364117215,1.1762654672635897,1.030172741093796
2382,fe_virial_batch_100k_16_0,-138.67978536684436,0.0,0.05755460344099561,32,-0.13542947789730894,-0.1117224246783953,-0.10066838689480229,-0.09353211866911741,0.014193297450548203,0.007446035556978314,0.002758814057916892
2383,fe_virial_batch_100k_16_0,170.71869446695254,0.0,1.2649396299611928,32,0.16671747506538334,0.17295904915384236,0.14967965860200952,0.10702384460753418,1.18876081967277,1.074602612822909,0.9525787818345367
2384,fe_virial_batch_100k_16_0,-232.73315520002785,0.0,1.0433996046514347,32,-0.2272784718750272,-0.1466074431613956,-0.15251893492606736,-0.1108434456279045,0.9942468307838817,0.8581708339302567,0.7461171522049073
2385,fe_virial_batch_100k_16_0,125.57443001721781,0.0,1.2070164042098752,34,0.10862839966887354,0.11240965421848767,0.08609230620329798,0.08201722075540945,1.1512962863394365,1.0491624739340204,0.9541292262789808
2386,fe_virial_batch_100k_16_0,-93.925504322934,0.0,1.0073562966278602,34,-0.08125043626551384,-0.10049207078295906,-0.10876539353310995,-0.11263847927131646,0.9408752418949922,0.877159557267355,0.7821959040567589
2387,fe_virial_batch_100k_16_0,76.67863326290686,0.0,0.8601338809813978,34,0.06633099763227236,0.044288913027516696,0.03816751169542071,0.018594765833056897,0.828470264117215,0.7403508350451314,0.6440772003530552
2388,fe_virial_batch_100k_16_0,251.5258806251968,0.0,1.9652934365369523,34,0.21758294171729828,0.223725299843193,0.21658456687353073,0.16993348310442194,1.9178574752283255,1.8290415505969229,1.677390637390091
2389,fe_virial_batch_100k_16_0,-49.031842276492114,0.0,1.3387980490958773,34,-0.042415088474474144,-0.02801949394210532,-0.022122187888422233,0.009349069408309613,1.2712657641172156,1.2069257783747007,1.1402004114641657
2390,fe_virial_batch_100k_16_0,457.07530225069047,0.0,2.1205190708765436,36,0.3526815603786192,0.3337717841665789,0.32782598654917655,0.2920768242052053,2.077674408561661,1.9698384517117986,1.8169940040567591
2391,fe_virial_batch_100k_16_0,202.32830074660436,0.0,1.7092691602069887,36,0.15611751600818238,0.18412371627012844,0.17317105104599842,0.15215796597395928,1.6820827307838795,1.60820192393402,1.4875791818345354
2392,fe_virial_batch_100k_16_0,144.16280421771944,0.0,1.3802003254258406,36,0.11123673164947488,0.09515499973303346,0.08190690627443213,0.04678220950780019,1.3262509530061029,1.2349793461562426,1.1361238447975
2393,fe_virial_batch_100k_16_0,180.73679849803514,0.0,1.809511404209876,36,0.1394574062484839,0.18352752638411254,0.1790757316085493,0.16896500903176517,1.7954918196727696,1.7671170017117996,1.6846460299826849
2394,fe_virial_batch_100k_16_0,235.66143180546894,0.0,1.3188879632945265,36,0.1818375245412569,0.14647559149303874,0.10661140006620917,0.07591340829882483,1.255803297450549,1.1838017839302566,1.1236077188715727
2395,fe_virial_batch_100k_16_0,-19.850430713130393,0.0,1.8662928268736554,38,-0.013746835673913015,-0.041377480562493116,-0.07460216830405476,-0.034170325455014236,1.7522551752283262,1.613171661708034,1.5110803744271295
2396,fe_virial_batch_100k_16_0,214.9483271021045,0.0,1.7417531855167483,38,0.1488561822036735,0.11803774335272384,0.1318935363490941,0.12281003183311656,1.6431928641172138,1.5556871283747007,1.4435837151678692
2397,fe_virial_batch_100k_16_0,71.85760990177238,0.0,1.9100010708765427,38,0.04976288774360968,0.032682973757046346,0.0235288022638845,0.060836698720118355,1.841820908561659,1.719015761708035,1.6112036003530559
2398,fe_virial_batch_100k_16_0,363.3848298117892,0.0,1.9971234077389717,38,0.25165154419098973,0.2382352914421347,0.26350036148027983,0.2530237873545044,1.9124779654614201,1.8749382339302572,1.787248774427128
2399,fe_virial_batch_100k_16_0,-93.31278372105781,0.0,1.559403604316536,38,-0.06462104135807328,-0.03039344308291447,-0.03240645609564516,-0.032753528685137805,1.5644729752283268,1.5090950961562428,1.434392848501203
2400,fe_virial_batch_100k_17_0,-131.90570498185807,0.0,0.6543272713181005,32,-0.12881416502134577,-0.14487450681766986,-0.18522759480307227,-0.1573112218744086,0.5847355530061036,0.48599218393025645,0.405061159612314
2401,fe_virial_batch_100k_17_0,-67.12823427074366,0.0,0.32530716020698935,32,-0.0655549162800231,-0.02095123779551085,0.003467267659357366,-0.039652719450009276,0.31641697522832607,0.2751553517117981,0.1941083040567585
2402,fe_virial_batch_100k_17_0,10.5602644431482,0.0,0.8075767410723037,32,0.010312758245261913,0.0758645054867525,0.032735762371652787,0.04404557772474984,0.746888286339437,0.6260756450413673,0.512016726278981
2403,fe_virial_batch_100k_17_0,-140.13202165794718,0.0,0.05017552884595816,32,-0.13684767740033904,-0.09729507570849463,-0.11963905001248633,-0.1256835054200752,0.02704644517867877,0.012362185628900124,0.005913875620503828
2404,fe_virial_batch_100k_17_0,-168.26338870726977,0.0,0.36502342951963435,32,-0.16431971553444313,-0.0853892249776614,-0.07293933204582739,-0.06267397158985677,0.3798882530061038,0.35772117837470085,0.2798152744271293
2405,fe_virial_batch_100k_17_0,162.63376326189993,0.0,1.1410332930987646,34,0.14068664642032866,0.17137548696307095,0.1857706878113806,0.13367475839172027,1.1043792196727704,1.0353935739340208,0.8897770559086104
2406,fe_virial_batch_100k_17_0,362.748767478166,0.0,1.1141638521834152,34,0.3137965116593131,0.2688666178134494,0.22340765496859755,0.17404530893629266,1.0399326863394371,0.9710274517117978,0.8624566077604623
2407,fe_virial_batch_100k_17_0,93.82556479887846,0.0,0.7166935188500826,34,0.08116398339003326,0.06038482329237446,0.027959379302904215,0.019727678500354864,0.6570553196727704,0.5834064294895763,0.5070213892419443
2408,fe_virial_batch_100k_17_0,-210.2910009633508,0.0,1.0700708268736565,34,-0.1819126305911339,-0.17438461311776146,-0.1541030378161487,-0.0791350963782431,0.994735941894993,0.8991079283747012,0.8304630596123139
2409,fe_virial_batch_100k_17_0,75.51401773586444,0.0,1.3904277698702867,34,0.065323544754208,0.13162024690189902,0.14532139512462175,0.15605463113673726,1.3582016196727704,1.2375965783747003,1.1149684707234258
2410,fe_virial_batch_100k_17_0,-132.5381548236313,0.0,1.1109913254258408,36,-0.10226709477132044,-0.17758632632422694,-0.18253080420236262,-0.13891842234833812,1.0301276307838811,0.8974351117080339,0.790011270723425
2411,fe_virial_batch_100k_17_0,321.0292392795558,0.0,1.6381093824292114,36,0.24770774635768192,0.2061828494016682,0.1561557233374998,0.1360352239594627,1.5795642530061038,1.4469858505969222,1.313783841093795
2412,fe_virial_batch_100k_17_0,183.9780192457572,0.0,1.4219647157625452,36,0.14195834818345462,0.13021220493292357,0.11414538341021763,0.1155683019971774,1.3371107307838819,1.2533006005969238,1.1775858818345364
2413,fe_virial_batch_100k_17_0,-135.94755651045514,0.0,1.5222621855167493,36,-0.10489780594942527,-0.05311789040985294,-0.052092625658986966,-0.020360651279159862,1.467091008561658,1.3277300005969233,1.1777142929456472
2414,fe_virial_batch_100k_17_0,199.99152722835981,0.0,1.3859421819876532,36,0.15431445002188257,0.11109710213852099,0.07713150662778752,0.07923597724956583,1.3313794863394373,1.2162161894858121,1.1168057559086106
2415,fe_virial_batch_100k_17_0,128.22938895830234,0.0,1.723311270983203,38,0.08880151589910135,0.14737039475539498,0.14992881738139588,0.16012669680686845,1.7225152530061036,1.6523432072673545,1.5764852373900913
