system,Rg
frac_131,1.73541364067966
frac_132,1.6915891254372812
frac_133,1.6750148775612195
frac_134,1.6835132498750627
frac_135,1.84208011994003
frac_136,1.8356268565717142
frac_137,1.8255572063968015
frac_138,1.8212722688655674
frac_139,1.8531150924537731
frac_140,1.9787736631684159
frac_141,1.9736143928035983
frac_142,1.9423194702648676
frac_143,1.972372963518241
frac_144,1.9605904947526236
frac_145,2.083112623688156
frac_146,2.083102068965517
frac_147,2.0891497451274366
frac_148,2.072490699650175
frac_149,2.0478045627186408
frac_150,1.6436889090454772
frac_151,1.6413494652673664
frac_152,1.6183083873063469
frac_153,1.6578482263868066
frac_154,1.6234525502248875
frac_155,1.7810247426286856
frac_156,1.803946676661669
frac_157,1.7863345177411298
frac_158,1.7891109195402297
frac_159,1.7974744577711146
frac_160,1.9266767266366818
frac_161,1.9311365067466266
frac_162,1.9200076311844079
frac_163,1.9726487906046977
frac_164,1.9104666366816594
frac_165,2.0748324287856073
frac_166,2.063310184907546
frac_167,2.033511929035482
frac_168,2.071023658170914
frac_169,2.060044747626187
frac_170,2.208008595702149
frac_171,2.1635764367816095
frac_172,2.1412268215892047
frac_173,2.175673788105947
frac_174,2.213136286856572
frac_175,1.7310492403798101
frac_176,1.7038789760119941
frac_177,1.759920106946527
frac_178,1.6922293553223389
frac_179,1.737301859570215
frac_180,1.8693299950024989
frac_181,1.8683078760619691
frac_182,1.871639435282359
frac_183,1.880873963018491
frac_184,1.8756779610194902
frac_185,2.0424604097951025
frac_186,1.9879295852073964
frac_187,2.002140614692654
frac_188,2.0191221889055475
frac_189,1.9972057971014494
frac_190,2.1210962318840583
frac_191,2.1443381209395302
frac_192,2.166882808595702
frac_193,2.07543740129935
frac_194,2.145710009995003
frac_195,2.2592189005497247
frac_196,2.2457952423788106
frac_197,2.2854336931534234
frac_198,2.2348286306846576
frac_199,2.291193153423288
frac_200,1.803775887056472
frac_201,1.7954172363818093
frac_202,1.8454159020489755
frac_203,1.7860577331334333
frac_204,1.8152070714642679
frac_205,1.9120511294352827
frac_206,1.939123583208396
frac_207,1.9482467016491756
frac_208,1.9257559620189906
frac_209,1.9364348425787106
frac_210,2.0763902548725635
frac_211,2.104357116441779
frac_212,2.0891137731134433
frac_213,2.068212013993003
frac_214,2.090544997501249
frac_215,2.2034588905547228
frac_216,2.190044307846077
frac_217,2.226519660169915
frac_218,2.208153458270864
frac_219,2.204186631684158
frac_220,2.2985778760619686
frac_221,2.353346151924038
frac_222,2.2763509345327337
frac_223,2.312067211394303
frac_224,2.301072243878061
frac_225,1.8886436531734132
frac_226,1.866135212393803
frac_227,1.8566466866566718
frac_228,1.9041005797101451
frac_229,1.9017044177911044
frac_230,2.0349292903548224
frac_231,1.9925386906546727
frac_232,2.0517863668165917
frac_233,1.9795912343828084
frac_234,2.016234447776112
frac_235,2.1930334232883557
frac_236,2.1161056521739128
frac_237,2.119252383808096
frac_238,2.125185087456272
frac_239,2.1373119140429786
frac_240,2.23365015992004
frac_241,2.1964285857071464
frac_242,2.2605998750624683
frac_243,2.269569285357321
frac_244,2.307246461769115
frac_245,2.3635931034482756
frac_246,2.3909236131934035
frac_247,2.363819380309845
frac_248,2.373319965017491
frac_249,2.3927589155422284
frac_250,1.6460826386806597
frac_251,1.6377646421789105
frac_252,1.6123354497751123
frac_253,1.6655665217391304
frac_254,1.6380030284857572
frac_255,1.7857273613193405
frac_256,1.7818671164417792
frac_257,1.7868602198900552
frac_258,1.8205511794102947
frac_259,1.7808903748125937
frac_260,1.8838747476261868
frac_261,1.9426345427286358
frac_262,1.9394018790604697
frac_263,1.910047276361819
frac_264,1.9479026086956521
frac_265,2.0726333433283357
frac_266,2.0072746626686655
frac_267,2.047451059470265
frac_268,2.064357036481759
frac_269,2.050132563718141
frac_270,2.188154952523738
frac_271,2.1788773213393307
frac_272,2.1722411644177915
frac_273,2.1744316491754123
frac_274,2.1859245977011494
frac_275,1.7038335432283858
frac_276,1.7316383658170913
frac_277,1.6985174612693652
frac_278,1.735022868565717
frac_279,1.7637707661169415
frac_280,1.870904267866067
frac_281,1.8949467166416791
frac_282,1.8554276711644175
frac_283,1.8698891904047976
frac_284,1.8346542778610695
frac_285,1.9894579110444777
frac_286,2.0060289705147425
frac_287,2.0290547776111945
frac_288,2.0416813543228387
frac_289,1.9859273113443279
frac_290,2.1262591054472764
frac_291,2.1114355022488756
frac_292,2.1555250874562715
frac_293,2.065947291354323
frac_294,2.073536611694153
frac_295,2.2254886256871567
frac_296,2.2691045377311343
frac_297,2.281018615692154
