polymer,system,A2_unnormalized,deltaGmin,N,A2_normalized
2463,fe_virial_batch_100k17,1.1655887582234001,0.0,40,0.000728492973889625
2464,fe_virial_batch_100k17,-100.15231805860722,0.0,40,-0.06259519878662952
2465,fe_virial_batch_100k17,106.20667240686436,0.0,42,0.060207864176226956
2466,fe_virial_batch_100k17,56.15883968063985,0.0,42,0.0318360769164625
2467,fe_virial_batch_100k17,9.891100561533275,0.0,42,0.005607199864814782
2468,fe_virial_batch_100k17,-99.8825658148491,0.0,42,-0.05662276973630902
2469,fe_virial_batch_100k17,28.083782336849985,0.0,42,0.015920511528826523
2470,fe_virial_batch_100k17,57.00151361048265,0.0,44,0.029442930583926986
2471,fe_virial_batch_100k17,87.27296763554085,0.0,44,0.04507901220844052
2472,fe_virial_batch_100k17,104.5879640251236,0.0,44,0.054022708690663016
2473,fe_virial_batch_100k17,56.685331007605946,0.0,44,0.029279613123763402
2474,fe_virial_batch_100k17,-10.602874838406736,0.0,44,-0.00547669154876381
2475,fe_virial_batch_100k17,22.139352789650705,0.0,38,0.015331961765686084
2476,fe_virial_batch_100k17,-14.470279161734245,0.0,38,-0.010020968948569423
2477,fe_virial_batch_100k17,-167.39702262369883,0.0,38,-0.11592591594438978
2478,fe_virial_batch_100k17,111.20798121409709,0.0,38,0.07701383740588441
2479,fe_virial_batch_100k17,12.625414222227308,0.0,38,0.008743361649741902
2480,fe_virial_batch_100k17,53.67621518296819,0.0,40,0.03354763448935512
2481,fe_virial_batch_100k17,189.0472634571064,0.0,40,0.1181545396606915
2482,fe_virial_batch_100k17,-107.94897960661224,0.0,40,-0.06746811225413266
2483,fe_virial_batch_100k17,81.71706717348975,0.0,40,0.0510731669834311
2484,fe_virial_batch_100k17,155.75800259691434,0.0,40,0.09734875162307147
2485,fe_virial_batch_100k17,-40.05687555615841,0.0,42,-0.022707979340225858
2486,fe_virial_batch_100k17,-135.75075689961417,0.0,42,-0.0769562113943391
2487,fe_virial_batch_100k17,21.54649039858806,0.0,42,0.012214563718020441
2488,fe_virial_batch_100k17,10.664796845746059,0.0,42,0.006045803200536315
2489,fe_virial_batch_100k17,-72.29262408183699,0.0,42,-0.04098221319832029
