[W],[Ta],[Tr],[R],total_count,R_avg_cluster_size,Ta_avg_cluster_size,Tr_avg_cluster_size,W_avg_cluster_size,num_cluster_types,max_cluster_size,R_no_of_cluster,Ta_no_of_cluster,Tr_no_of_cluster,W_no_of_cluster,R_max_cluster_size,Ta_max_cluster_size,Tr_max_cluster_size,W_max_cluster_size,deltaGmin,A2_normalized
6.0,8.0,4.0,4.0,22,0.0,2.0,0.0,4.0,4,4,0,2,0,1,0,2,0,4,-10.010626266666673,0.02191073605198185
6.0,8.0,4.0,4.0,22,3.0,2.0,0.0,2.0,4,3,1,1,0,2,3,2,0,2,-8.679530911111115,0.13998740085544453
6.0,8.0,4.0,4.0,22,2.0,2.5,2.0,2.0,4,3,1,2,1,1,2,3,2,2,-8.070174466666664,0.17091172770656873
8.0,8.0,4.0,4.0,24,0.0,2.0,2.0,2.0,4,2,0,2,1,1,0,2,2,2,-7.693836622222222,0.4147830157275163
8.0,8.0,4.0,4.0,24,2.0,2.0,0.0,2.0,4,2,1,3,0,2,2,2,0,2,-6.974304977777775,0.016902577823840734
8.0,8.0,4.0,4.0,24,3.0,2.5,0.0,2.0,4,3,1,2,0,1,3,3,0,2,-8.292957577777775,0.2257249713559172
8.0,8.0,4.0,4.0,24,0.0,2.5,2.0,3.0,4,4,0,2,2,2,0,3,2,4,-8.460030800000016,0.04415073251781584
8.0,8.0,4.0,4.0,24,2.0,3.0,2.0,2.5,4,3,1,1,1,2,2,3,2,3,-8.637364488888894,-0.3614418625906963
10.0,8.0,4.0,4.0,26,2.0,2.0,2.0,4.0,4,4,1,2,1,1,2,2,2,4,-7.629019733333327,-0.07963337812943075
10.0,8.0,4.0,4.0,26,0.0,2.0,2.0,2.25,4,3,0,1,1,4,0,2,2,3,-7.565404777777778,0.20074807261889585
10.0,8.0,4.0,4.0,26,2.0,0.0,2.0,4.0,4,4,1,0,1,1,2,0,2,4,-7.391299666666669,0.2188458868555984
10.0,8.0,4.0,4.0,26,2.0,2.0,0.0,2.0,4,2,1,2,0,3,2,2,0,2,-7.163973733333331,-0.2496557689285512
10.0,8.0,4.0,4.0,26,0.0,3.5,2.0,2.6666666666666665,4,4,0,2,1,3,0,4,2,3,-9.433233822222224,0.39648205981756607
12.0,8.0,4.0,4.0,28,0.0,2.0,2.0,2.75,4,4,0,3,1,4,0,2,2,4,-7.623839799999999,-0.09586884263159257
12.0,8.0,4.0,4.0,28,0.0,2.0,2.0,3.5,4,4,0,2,1,2,0,2,2,4,-7.548250666666665,0.11723659124509113
12.0,8.0,4.0,4.0,28,2.0,2.0,2.0,3.0,4,5,1,1,1,3,2,2,2,5,-7.047486066666671,0.22035391157516188
12.0,8.0,4.0,4.0,28,0.0,2.0,0.0,2.0,4,2,0,1,0,2,0,2,0,2,-6.207486266666662,0.30804176395654176
12.0,8.0,4.0,4.0,28,2.0,2.0,2.0,2.0,4,2,1,2,1,4,2,2,2,2,-6.725927466666667,0.16258506295315786
4.0,10.0,4.0,4.0,22,0.0,2.333333333333333,2.0,2.0,4,3,0,3,1,1,0,3,2,2,-11.006703599999993,-0.2604277293445773
4.0,10.0,4.0,4.0,22,0.0,2.333333333333333,2.0,0.0,4,3,0,3,2,0,0,3,2,0,-11.029947755555565,0.10149589610548827
4.0,10.0,4.0,4.0,22,0.0,2.0,0.0,2.0,4,2,0,3,0,1,0,2,0,2,-10.75221288888888,-0.007316695704592074
4.0,10.0,4.0,4.0,22,2.0,2.5,2.0,0.0,4,3,1,2,1,0,2,3,2,0,-11.225569755555544,-0.00047435294662662966
4.0,10.0,4.0,4.0,22,2.0,2.0,2.0,0.0,4,2,1,4,1,0,2,2,2,0,-10.612028711111087,-0.01334510037782997
6.0,10.0,4.0,4.0,24,0.0,2.0,2.0,2.0,4,2,0,2,1,2,0,2,2,2,-10.509882377777783,0.1504935779675441
