,r2_0,mae_0,max_error_0,r2_0_1,mae_0_1,max_error_0_1,max_var_0,min_var_0,mean_var_0,median_var_0,std_var_0,max_var_1,min_var_1,mean_var_1,median_var_1,std_var_1,train_size,coregionalized
14,0.9754012720232091,0.029037682517797817,0.1596631242438713,0.9754012720232091,0.029037682517797817,0.1596631242438713,0.008259502860035638,0.00010383210802645736,0.0008968643954517846,0.0007077433209320519,0.0007256122349694814,3.885387481313693,0.04884072791278306,0.4218958791167759,0.33293030180131955,0.3413383460730491,250,True
15,0.9754653175514044,0.02904416673149402,0.16032461744023774,0.9754653175514044,0.02904416673149402,0.16032461744023774,0.008239137809594732,9.971305500022787e-05,0.0008686252249901354,0.0006827181725108655,0.0007144361838553199,3.7373569685213965,0.05214504631553041,0.43983886225606655,0.3505731171707964,0.3400886669995783,250,False
16,0.97596323773146,0.029558936152879686,0.11221020780827828,0.97596323773146,0.029558936152879686,0.11221020780827828,0.009339718546778286,0.000197205723625693,0.001131000301860503,0.0008781683746175162,0.0009918412542833737,1.7270354901310485,0.30840991618109553,0.47186714391951434,0.43266819064851786,0.1555055793970511,250,True
17,0.9762938300905415,0.029296373758441418,0.1167769399136116,0.9762938300905415,0.029296373758441418,0.1167769399136116,0.00929186083922251,0.00020839103097980427,0.0011676539599268566,0.0009148702543195775,0.000999426068213839,4.289528856316794,0.12345802100877448,0.6292434751794034,0.5084493750212163,0.4855434219625593,250,False
18,0.9778327361302085,0.028096999612101593,0.1373530738448978,0.9778327361302085,0.028096999612101593,0.1373530738448978,0.010104861117871344,0.00020211746819853715,0.001288529609028923,0.0010162897544576666,0.0010133314488930958,1.4834890517076138,0.24953461154505074,0.3961654227378018,0.3620444425450051,0.13160159732430857,250,True
19,0.9830767955423051,0.024074548091440464,0.13224380253085055,0.9830767955423051,0.024074548091440464,0.13224380253085055,0.0020452012257205143,0.0008064644319542214,0.000970248877088564,0.0009368967779802762,0.00013765477992391914,3.397438856482921,0.08482667433581526,0.5042751914261684,0.4080764771319707,0.3636786376932057,250,False
20,0.9807084696335389,0.026119346401568492,0.1284215923352816,0.9807084696335389,0.026119346401568492,0.1284215923352816,0.011178185998759638,0.00023052483789509637,0.0012305647123213347,0.0009521082548973325,0.001038489436592887,0.9960434136964478,0.3024327163863985,0.38104123507487997,0.3635097355290851,0.0708632881791128,750,True
21,0.9861491166634127,0.022229782660938037,0.09774523238864585,0.9861491166634127,0.022229782660938037,0.09774523238864585,0.0014377136762504835,0.0007155553301004022,0.000801964941118364,0.0007846891809435749,7.457409487097922e-05,0.7456609927165803,0.316049822834316,0.36551443403857836,0.35534716648442116,0.04377199540200616,750,False
22,0.9861646469689935,0.02196481726992428,0.10252247381666191,0.9861646469689935,0.02196481726992428,0.10252247381666191,0.0014845382723582795,0.0006539837268566522,0.0007519207023548895,0.0007291850727360021,8.449145519040927e-05,0.7059866801329535,0.2850821050789436,0.3339457902658611,0.32235293718000135,0.04249429516262586,750,True
23,0.985956292091033,0.022082493874680323,0.10472716353004241,0.985956292091033,0.022082493874680323,0.10472716353004241,0.0014812380727942391,0.0006603163332481736,0.0007578877704080959,0.0007352103271738579,8.386972075442947e-05,0.7564279138809977,0.28394294067538767,0.33873407855205623,0.32565690097317174,0.04775215476815578,750,False
24,0.9812287977318014,0.026175613947474148,0.13609344829697712,0.9812287977318014,0.026175613947474148,0.13609344829697712,0.00861878721943965,0.0001927895455291484,0.0011545115798696087,0.0008687689834885326,0.0010098453914572424,0.9906025793901405,0.303399243991761,0.39248164765674093,0.3699128313339328,0.08354446361635018,750,True
25,0.9861921430387371,0.022164535572051728,0.10308969462474149,0.9861921430387371,0.022164535572051728,0.10308969462474149,0.001381379395161541,0.0006612632510669228,0.0007530850468193122,0.0007306200307144009,8.328778905652725e-05,0.7709222438751528,0.3202313266164271,0.3768080422928655,0.3623562019019079,0.052457453743015685,750,False
26,0.9811680783399083,0.026192088466293104,0.11563464781518862,0.9811680783399083,0.026192088466293104,0.11563464781518862,0.011376102882508565,0.0002068697344075332,0.001230640135050696,0.000951917532804103,0.001028157404204037,1.0338908116177985,0.27028556208810894,0.3547668413697979,0.33528639418748096,0.07570919760345451,750,True
27,0.9865934915197732,0.021993976566112187,0.09694559385800883,0.9865934915197732,0.021993976566112187,0.09694559385800883,0.001536578939523808,0.0006814969983698957,0.000781121880106336,0.0007605412072299642,8.631030481603857e-05,0.8183643007536608,0.28121164799943077,0.3403089003460919,0.32685604427517834,0.05275017386574154,750,False
28,0.986606442859618,0.022105476235283004,0.08676733141707738,0.986606442859618,0.022105476235283004,0.08676733141707738,0.0015163634529611002,0.0006567620207928669,0.0007570182637930612,0.0007365558645315516,8.492936332395984e-05,0.7094490150053057,0.32323794310701803,0.36866185442043964,0.3594749424160577,0.038302637376793854,750,True
