polymer,system,A2_unnormalized,deltaGmin,N,A2_normalized
107,fe_rand_virial_batch1,155.17152506441,0,26,0.229543676130784
108,fe_rand_virial_batch1,-80.81109819850134,0,26,-0.11954304467233927
109,fe_rand_virial_batch1,48.34080883522648,0,26,0.07151007224145929
110,fe_rand_virial_batch1,214.06763193642382,0,28,0.2730454488984998
111,fe_rand_virial_batch1,47.70286707298247,0,28,0.060845493715538865
112,fe_rand_virial_batch1,117.11545577701565,0,28,0.14938195889925465
113,fe_rand_virial_batch1,131.52652032200209,0,28,0.1677634187780639
114,fe_rand_virial_batch1,211.99886439814654,0,28,0.27040671479355427
115,fe_rand_virial_batch1,156.355953697961,0,30,0.1737288374421789
116,fe_rand_virial_batch1,267.01502364752736,0,30,0.29668335960836373
117,fe_rand_virial_batch1,-19.38453411471908,0,30,-0.021538371238576756
118,fe_rand_virial_batch1,284.41242801531143,0,30,0.3160138089059016
119,fe_rand_virial_batch1,131.50965030624272,0,30,0.146121833673603
120,fe_rand_virial_batch1,-123.47741205745784,0,32,-0.12058341021236117
121,fe_rand_virial_batch1,203.21597624081963,0,32,0.19845310179767542
122,fe_rand_virial_batch1,55.55569134370227,0,32,0.05425360482783425
123,fe_rand_virial_batch1,119.08411749475978,0,32,0.11629308349097635
124,fe_rand_virial_batch1,-150.23519564228573,0,32,-0.14671405824441966
125,fe_rand_virial_batch1,44.49677978868094,0,18,0.13733574008852142
126,fe_rand_virial_batch1,54.844446759616986,0,18,0.16927298382597836
127,fe_rand_virial_batch1,22.08013432043703,0,18,0.06814856271739823
128,fe_rand_virial_batch1,144.35327030393108,0,18,0.4455347848886762
129,fe_rand_virial_batch1,139.81230012445394,0,18,0.4315194448285615
130,fe_rand_virial_batch1,100.31683272168081,0,20,0.25079208180420204
131,fe_rand_virial_batch1,7.658803345832261,0,20,0.019147008364580654
132,fe_rand_virial_batch1,61.76964374507848,0,20,0.1544241093626962
133,fe_rand_virial_batch1,0.9738982646471598,0,20,0.0024347456616178997
134,fe_rand_virial_batch1,31.520414639169694,0,20,0.07880103659792423
135,fe_rand_virial_batch1,36.13995699719245,0,22,0.07466933263882737
136,fe_rand_virial_batch1,-24.51100886083027,0,22,-0.05064258029097163
137,fe_rand_virial_batch1,-175.42804469223864,0,22,-0.3624546377938815
138,fe_rand_virial_batch1,0.17856117702943852,0,22,0.00036892805171371597
139,fe_rand_virial_batch1,-11.982345569065469,0,22,-0.024756912332779893
140,fe_rand_virial_batch1,88.88650778215641,0,24,0.154316853788466
141,fe_rand_virial_batch1,264.09269621241026,0,24,0.4584942642576567
142,fe_rand_virial_batch1,73.87541489601234,0,24,0.12825592863891033
143,fe_rand_virial_batch1,104.97212855904701,0,24,0.1822432787483455
144,fe_rand_virial_batch1,216.70578585115283,0,24,0.3762253226582514
145,fe_rand_virial_batch1,33.108017946854496,0,26,0.04897635790954807
146,fe_rand_virial_batch1,38.5266086688568,0,26,0.056992024658072196
147,fe_rand_virial_batch1,52.30047378202814,0,26,0.07736756476631382
148,fe_rand_virial_batch1,182.91773447577447,0,26,0.2705883646091338
149,fe_rand_virial_batch1,4.155150610322598,0,26,0.006146672500477216
150,fe_rand_virial_batch2,185.1730956052383,0,20,0.46293273901309573
151,fe_rand_virial_batch2,-37.17058618769006,0,20,-0.09292646546922516
152,fe_rand_virial_batch2,-143.91776694001481,0,20,-0.35979441735003703
